timestamp,symbol,side,qty,entry_price,exit_price,pnl_usd,status,leverage
1758620959045,XRPUSDT,Sell,786.0,2.8665,2.8474,-17.48271897,LOSS,10.0
1758622274785,XRPUSDT,Sell,51.0,2.8514,2.8628,0.42111669,WIN,10.0
1758636558535,XRPUSDT,Sell,50.0,2.8606,2.8726,0.442337,WIN,10.0
1758638144805,XRPUSDT,Sell,50.0,2.8727,2.8534,-1.12246775,LOSS,10.0
1758639330114,XRPUSDT,Sell,51.0,2.8548,2.8666,0.44131473,WIN,10.0
1758639330114,XRPUSDT,Sell,51.0,2.8548,2.8666,0.44131473,WIN,10.0
1758641064835,XRPUSDT,Sell,50.0,2.8659,2.878,0.44704275,WIN,10.0
1758646328625,XRPUSDT,Sell,50.0,2.878,2.8908,0.48872452,WIN,75.0
1758646948785,XRPUSDT,Sell,378.0,2.8923,2.8747,-7.8517593,LOSS,75.0
1758649304095,XRPUSDT,Sell,377.0,2.876,2.857,-8.35173755,LOSS,75.0
1758650636665,XRPUSDT,Sell,375.0,2.8607,2.8419,-8.22616126,LOSS,75.0
1758651008945,XRPUSDT,Sell,375.0,2.8398,2.8524,3.55098375,WIN,75.0
1758654392540,XRPUSDT,Sell,375.0,2.8516,2.864,3.4711575,WIN,75.0
1758658762345,XRPUSDT,Sell,375.0,2.8638,2.8451,-8.18996063,LOSS,75.0
1758658762345,XRPUSDT,Sell,375.0,2.8638,2.8451,-8.18996063,LOSS,75.0
