timestamp,symbol,side,qty,entry_price,exit_price,pnl_usd,status,leverage
1758665325657,XRPUSDT,Sell,374.0,2.844,2.8449,-0.83360673,LOSS,75.0
1758665325657,XRPUSDT,Sell,374.0,2.844,2.8449,-0.83360673,LOSS,75.0
1758673231805,XRPUSDT,Sell,760.0,2.8264,2.8382,6.41631653,WIN,75.0
1758680304056,XRPUSDT,Sell,763.0,2.8383,2.8201,-16.26114757,LOSS,75.0
1758684558640,XRPUSDT,Sell,752.0,2.8234,2.8045,-16.54049944,LOSS,75.0
1758698151585,XRPUSDT,Sell,728.0,2.858,2.8701,6.51526876,WIN,75.0
1758723110830,XRPUSDT,Sell,730.0,2.8744,2.8869,6.81183805,WIN,75.0
1758743428115,XRPUSDT,Sell,719.0,2.9584,2.9708,6.57089786,WIN,75.0
1758743791385,XRPUSDT,Sell,720.0,2.9798,2.9923,6.6350484,WIN,75.0
1758745979332,XRPUSDT,Sell,726.0,2.9702,2.9581,-11.15177019,LOSS,75.0
1758747240845,XRPUSDT,Sell,721.0,2.9572,2.9702,7.02248953,WIN,75.0
